age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,salary
46,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Female,36,United-States,<=50K
31,Private,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,36,United-States,<=50K
51,Private,Masters,14,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,39,United-States,<=50K
29,Private,Some-college,10,Widowed,Adm-clerical,Unmarried,White,Male,24,United-States,<=50K
19,Private,Assoc-voc,11,Never-married,Sales,Not-in-family,White,Female,50,United-States,<=50K
18,Local-gov,HS-grad,9,Never-married,Protective-serv,Not-in-family,White,Female,36,United-States,<=50K
42,State-gov,11th,4,Married-civ-spouse,Prof-specialty,Wife,White,Female,29,United-States,<=50K
51,Private,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Female,51,United-States,>50K
37,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,39,United-States,<=50K
41,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,39,United-States,>50K
39,Private,Assoc-acdm,12,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,42,United-States,>50K
52,?,Bachelors,13,Divorced,?,Own-child,White,Female,35,United-States,<=50K
18,Private,Bachelors,14,Separated,Machine-op-inspct,Not-in-family,White,Female,64,United-States,<=50K
34,Local-gov,Some-college,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,16,United-States,>50K
48,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Black,Female,34,United-States,<=50K
62,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,36,United-States,<=50K
35,Private,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,53,South,<=50K
57,Private,Assoc-voc,11,Never-married,Adm-clerical,Own-child,White,Female,18,United-States,<=50K
20,Private,Assoc-voc,11,Married-civ-spouse,Handlers-cleaners,Husband,White,Female,36,United-States,<=50K
20,Local-gov,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,36,United-States,<=50K
25,Private,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,36,United-States,<=50K
